Player,FantPt,Cmp,Att,Tgt,Rt,Ret,Touch,Game_day_of_week,Game_num,Week_num,Date,Age,Team,,Opp,Result,PassingCmp,PassingAtt,PassingInc,PassingCmp%,PassingYds,PassingTD,PassingInt,PassingPick6,PassingTD%,PassingInt%,PassingRate,PassingSk,PassingYds2,PassingSk%,PassingY/A,PassingAY/A,PassingANY/A,PassingY/C,Touch2,TotOff,YScm,APYd,RtY,FantasyFantPt,FantasyPPR,FantasyDKPt,FantasyFDPt,RushingAtt,RushingYds,RushingY/A,RushingTD,Rushing1D,Kick ReturnsRt,Kick ReturnsYds,Kick ReturnsY/Rt,Kick ReturnsKRTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,ReceivingCtch%,ReceivingY/Tgt,Receiving1D,Punt ReturnsRet,Punt ReturnsYds,Punt ReturnsY/R,Punt ReturnsPRTD,Pos.,Draft
Josh Allen,29.68,26,1,0,0,0,1,Mon,2,2,2022-09-19,26-121,BUF,,TEN,W 41-7,26,38,12,68.4,317,4,0,,10.5,0.0,128.9,1,4,2.56,8.3,10.45,10.08,12.2,1,323,10,10,0,29.68,29.68,32.7,29.7,1,10,10.0,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-7
Josh Jacobs,29.50,0,28,6,0,0,33,Sun,4,4,2022-10-02,24-233,LVR,,DEN,W 32-23,0,0,0,,0,0,0,,,,,0,0,,,,,,33,144,175,175,0,29.50,34.50,37.5,32.0,28,144,5.1,2,8,0,0,,0,6,5,31,6.2,0,83.3,5.2,4,0,0,,0,RB,1-24
Travis Kelce,29.50,0,0,10,0,0,6,Sun,10,11,2022-11-20,33-046,KAN,@,LAC,W 30-27,0,0,0,,0,0,0,,,,,0,0,,,,,,6,0,115,115,0,29.50,35.50,38.5,32.5,0,0,,0,0,0,0,,0,10,6,115,19.2,3,60.0,11.5,5,0,0,,0,TE,3-63
Nick Chubb,29.30,0,17,3,0,0,20,Sun,2,2,2022-09-18,26-265,CLE,,NYJ,L 30-31,0,0,0,,0,0,0,,,,,0,0,,,,,,20,87,113,113,0,29.30,32.30,32.3,30.8,17,87,5.1,3,5,0,0,,0,3,3,26,8.7,0,100.0,8.7,1,0,0,,0,RB,2-35
Tua Tagovailoa,29.18,29,5,0,0,0,5,Sun,8,8,2022-10-30,24-242,MIA,@,DET,W 31-27,29,36,7,80.6,382,3,0,,8.3,0.0,138.7,2,13,5.26,10.6,12.28,11.29,13.2,5,388,19,19,0,29.18,29.18,32.2,29.2,5,19,3.8,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-5
Gabriel Davis,29.10,0,0,6,0,0,3,Sun,5,5,2022-10-09,23-191,BUF,,PIT,W 38-3,0,0,0,,0,0,0,,,,,0,0,,,,,,3,0,171,171,0,29.10,32.10,35.1,30.6,0,0,,0,0,0,0,,0,6,3,171,57.0,2,50.0,28.5,3,0,0,,0,WR,4-128
Jaylen Waddle,29.10,0,0,19,0,0,11,Sun,2,2,2022-09-18,23-297,MIA,@,BAL,W 42-38,0,0,0,,0,0,0,,,,,0,0,,,,,,11,0,171,171,0,29.10,40.10,43.1,34.6,0,0,,0,0,0,0,,0,19,11,171,15.5,2,57.9,9.0,9,0,0,,0,WR,1-6
Aaron Jones,29.00,0,15,3,0,0,18,Sun,2,2,2022-09-18,27-290,GNB,,CHI,W 27-10,0,0,0,,0,0,0,,,,,0,0,,,,,,18,132,170,170,0,29.00,32.00,35.0,30.5,15,132,8.8,1,7,0,0,,0,3,3,38,12.7,1,100.0,12.7,3,0,0,,0,RB,5-182
Austin Ekeler,28.90,0,13,7,0,0,19,Sun,4,4,2022-10-02,27-138,LAC,@,HOU,W 34-24,0,0,0,,0,0,0,,,,,0,0,,,,,,19,60,109,109,0,28.90,34.90,34.9,31.9,13,60,4.6,2,3,0,0,,0,7,6,49,8.2,1,85.7,7.0,2,0,0,,0,RB,
Khalil Herbert,28.90,0,20,2,0,0,22,Sun,3,3,2022-09-25,24-157,CHI,,HOU,W 23-20,0,0,0,,0,0,0,,,,,0,0,,,,,,22,157,169,169,0,28.90,30.90,33.9,29.9,20,157,7.9,2,8,0,0,,0,2,2,12,6.0,0,100.0,6.0,0,0,0,,0,RB,6-217
