Team,Date,Pts,TD,TD2,KRTD,Blck,Over/Under,TD3,TO,Day,G#,Week,,Opp,Result,Opp. RushingAtt,Opp. RushingYds,Opp. RushingY/A,Opp. RushingTD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingCmp%,Opp. PassingYds,Opp. PassingTD,Opp. PassingSk,Opp. PassingYds4,Opp. PassingInt,Opp. PassingRate,Pts5,PtsO,PtDif,PC,PuntingPnt,PuntingYds,PuntingY/P,PuntingBlck,KRTD6,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,TD7,KickingXPA,KickingXPM,KickingAtt,KickingMd,Sfty,Tot. Off.Tot,Tot. Off.Ply,Tot. Off.Y/P,Tot. Off.DPly,Tot. Off.DY/P,Tot. Off.TO,Tot. Off.ToP,Tot. Off.Time,VegasSpread,Vegasvs. Line,VegasOver/Under,VegasOU Result
HOU,2022-11-20,10,0,1,0,0,41.0,2,2,Sun,10,11,,WAS,L 10-23,40,153,3.8,1,15,27,55.6,191,0,0,0,0,77.9,10,23,-13,33,6,286,47.7,0,0,0,0,0,0,0,0,0,1,0,2,2,2,3,3,0,148,54,2.74,67,5.13,2,25:04,2:54,3.0,did not cover,41.0,under
WAS,2022-11-20,23,0,1,0,0,41.0,1,0,Sun,11,11,@,HOU,W 23-10,16,21,1.3,1,19,33,57.6,127,0,5,42,2,40.8,23,10,13,33,5,221,44.2,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,344,67,5.13,54,2.74,0,34:56,2:54,-3.0,covered,41.0,under
DAL,2022-11-20,40,0,0,0,0,48.5,0,0,Sun,10,11,@,MIN,W 40-3,17,73,4.3,0,17,30,56.7,110,0,7,49,0,64.6,40,3,37,43,2,101,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,458,70,6.54,54,3.39,0,37:24,3:03,-1.5,covered,48.5,under
MIN,2022-11-20,3,2,2,0,0,48.5,4,1,Sun,10,11,,DAL,L 3-40,40,151,3.8,2,26,30,86.7,307,2,0,0,0,131.5,3,40,-37,43,7,338,48.3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,183,54,3.39,70,6.54,1,22:36,3:03,1.5,did not cover,48.5,under
NOR,2022-11-20,27,2,0,0,0,39.0,2,0,Sun,11,11,,LAR,W 27-20,30,148,4.9,0,16,28,57.1,188,2,4,35,0,101.5,27,20,7,47,5,239,47.8,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,323,56,5.77,62,5.42,0,31:07,2:55,-2.5,covered,39.0,over
LAR,2022-11-20,20,3,0,0,0,39.0,3,0,Sun,10,11,@,NOR,L 20-27,24,88,3.7,0,22,28,78.6,235,3,4,39,0,137.4,20,27,-7,47,6,286,47.7,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,336,62,5.42,56,5.77,0,28:53,2:55,2.5,did not cover,39.0,over
NWE,2022-11-20,10,0,0,0,0,38.0,0,0,Sun,10,11,,NYJ,W 10-3,23,59,2.6,0,9,22,40.9,44,0,4,33,0,48.7,10,3,7,13,7,317,45.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,297,59,5.03,49,2.10,0,35:30,2:59,-3.5,covered,38.0,under
NYJ,2022-11-20,3,0,0,0,0,38.0,1,0,Sun,10,11,@,NWE,L 3-10,26,99,3.8,0,23,27,85.2,198,0,6,48,0,97.2,3,10,-7,13,10,458,45.8,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,0,103,49,2.10,59,5.03,0,24:30,2:59,3.5,did not cover,38.0,under
DET,2022-11-20,31,1,2,0,0,44.5,3,0,Sun,10,11,@,NYG,W 31-18,26,89,3.4,2,27,44,61.4,324,1,2,17,2,72.5,31,18,13,49,5,241,48.2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,325,63,5.16,72,5.74,0,31:48,3:06,3.0,covered,44.5,over
NYG,2022-11-20,18,0,4,0,0,44.5,4,3,Sun,10,11,,DET,L 18-31,37,160,4.3,4,17,26,65.4,165,0,0,0,0,83.0,18,31,-13,49,4,153,38.3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1,0,413,72,5.74,63,5.16,3,28:12,3:06,-3.0,did not cover,44.5,over
CIN,2022-11-20,37,1,2,0,0,40.0,3,2,Sun,10,11,@,PIT,W 37-30,24,102,4.3,2,25,42,59.5,249,1,2,16,0,84.3,37,30,7,67,3,162,54.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,408,65,6.28,68,5.16,2,31:36,3:18,-3.5,covered,40.0,over
PIT,2022-11-20,30,4,0,0,0,40.0,4,0,Sun,10,11,,CIN,L 30-37,24,62,2.6,0,24,39,61.5,346,4,2,9,2,103.2,30,37,-7,67,6,273,45.5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,3,0,351,68,5.16,65,6.28,0,28:24,3:18,3.5,did not cover,40.0,over
CAR,2022-11-20,3,0,1,0,0,41.5,1,3,Sun,11,11,@,BAL,L 3-13,30,115,3.8,1,24,33,72.7,193,0,3,16,1,74.4,3,13,-10,16,6,265,44.2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,205,54,3.80,66,4.67,3,26:46,3:12,13.0,covered,41.5,under
BAL,2022-11-20,13,0,0,0,0,41.5,0,1,Sun,10,11,,CAR,W 13-3,17,36,2.1,0,21,33,63.6,169,0,4,27,2,51.2,13,3,10,16,7,251,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,308,66,4.67,54,3.80,1,33:14,3:12,-13.0,did not cover,41.5,under
KAN,2022-11-20,30,2,1,0,0,52.5,3,1,Sun,10,11,@,LAC,W 30-27,30,115,3.8,1,23,30,76.7,250,2,5,30,1,109.0,30,27,3,57,2,92,46.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,485,62,7.82,65,5.62,1,27:41,2:58,-5.0,did not cover,52.5,over
LAC,2022-11-20,27,3,0,0,0,52.5,3,2,Sun,10,11,,KAN,L 27-30,27,163,6.0,0,20,34,58.8,322,3,1,7,0,120.0,27,30,-3,57,3,147,49.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,365,65,5.62,62,7.82,2,32:19,2:58,5.0,covered,52.5,over
ARI,2022-11-21,10,4,1,0,0,43.0,5,2,Mon,11,11,,SFO,L 10-38,28,159,5.7,1,20,29,69.0,228,4,0,0,0,131.9,10,38,-28,48,4,181,45.3,0,0,0,0,0,0,0,0,0,0,0,5,5,5,1,1,0,314,71,4.42,57,6.79,2,30:51,2:59,8.0,did not cover,43.0,over
SFO,2022-11-21,38,0,1,0,0,43.0,1,0,Mon,10,11,@,ARI,W 38-10,24,67,2.8,1,30,44,68.2,247,0,3,30,2,63.4,38,10,28,48,4,215,53.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,387,57,6.79,71,4.42,0,29:09,2:59,-8.0,covered,43.0,over
DAL,2022-11-24,28,1,1,0,0,45.5,2,2,Thu,11,12,,NYG,W 28-20,21,90,4.3,1,21,35,60.0,210,1,3,18,0,86.6,28,20,8,48,1,51,51.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,430,69,6.23,59,5.08,2,34:09,3:18,-10.0,did not cover,45.5,over
NYG,2022-11-24,20,2,2,0,0,45.5,4,0,Thu,11,12,@,DAL,L 20-28,39,169,4.3,2,21,30,70.0,261,2,0,0,2,91.1,20,28,-8,48,4,193,48.3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0,0,300,59,5.08,69,6.23,0,25:51,3:18,10.0,covered,45.5,over
BUF,2022-11-24,28,2,1,0,0,54.5,3,1,Thu,11,12,@,DET,W 28-25,28,96,3.4,1,23,37,62.2,230,2,2,10,0,97.8,28,25,3,53,4,197,49.3,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,0,401,74,5.42,67,4.87,1,31:26,3:14,-9.5,did not cover,54.5,under
DET,2022-11-24,25,2,1,0,0,54.5,3,2,Thu,11,12,,BUF,L 25-28,29,164,5.7,1,24,42,57.1,237,2,3,16,1,79.2,25,28,-3,53,2,103,51.5,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,1,326,67,4.87,74,5.42,2,28:34,3:14,9.5,covered,54.5,under
MIN,2022-11-24,33,2,0,1,0,42.5,2,1,Thu,11,12,,NWE,W 33-26,13,45,3.5,0,28,39,71.8,364,2,3,18,0,117.9,33,26,7,59,3,158,52.7,0,1,0,0,0,0,1,0,0,0,0,2,2,2,4,4,0,358,66,5.42,55,7.44,1,36:17,3:00,-2.5,covered,42.5,over
NWE,2022-11-24,26,3,0,0,0,42.5,4,0,Thu,11,12,@,MIN,L 26-33,27,57,2.1,0,31,38,81.6,301,3,1,9,1,115.0,26,33,-7,59,3,123,41.0,0,0,0,0,0,0,0,1,0,0,0,4,4,3,2,2,0,409,55,7.44,66,5.42,0,23:43,3:00,2.5,did not cover,42.5,over
CAR,2022-11-27,23,1,0,0,0,36.0,1,1,Sun,12,12,,DEN,W 23-10,19,121,6.4,0,19,35,54.3,125,1,3,17,0,71.7,23,10,13,33,5,255,51.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,349,65,5.37,57,4.32,1,37:03,3:06,1.0,covered,36.0,under
DEN,2022-11-27,10,1,1,0,0,36.0,2,2,Sun,11,12,@,CAR,L 10-23,46,185,4.0,1,11,19,57.9,164,1,0,0,0,103.8,10,23,-13,33,7,367,52.4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,0,246,57,4.32,65,5.37,2,22:57,3:06,-1.0,did not cover,36.0,under
CLE,2022-11-27,23,2,0,0,0,42.0,2,1,Sun,11,12,,TAM,W 23-17 (OT),20,96,4.8,0,29,43,67.4,229,2,3,17,0,96.0,23,17,6,40,6,329,54.8,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,367,75,4.89,66,4.92,1,39:04,3:25,3.0,covered,42.0,under
TAM,2022-11-27,17,1,2,0,0,42.0,3,0,Sun,11,12,@,CLE,L 17-23 (OT),34,189,5.6,2,23,37,62.2,178,1,4,32,1,71.7,17,23,-6,40,9,425,47.2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,0,325,66,4.92,75,4.89,0,30:37,3:25,-3.0,did not cover,42.0,under
ARI,2022-11-27,24,3,0,0,0,48.5,3,2,Sun,12,12,,LAC,L 24-25,13,65,5.0,0,35,47,74.5,246,3,4,28,0,107.2,24,25,-1,49,3,150,50.0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,366,64,5.72,64,4.86,2,30:35,3:08,2.5,covered,48.5,over
LAC,2022-11-27,25,2,1,0,0,48.5,3,0,Sun,11,12,@,ARI,W 25-24,34,181,5.3,1,18,29,62.1,185,2,1,6,1,89.0,25,24,1,49,6,234,39.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,0,311,64,4.86,64,5.72,0,29:25,3:08,-2.5,did not cover,48.5,over
JAX,2022-11-27,28,1,1,0,0,43.0,2,1,Sun,11,12,,BAL,W 28-27,35,162,4.6,1,16,32,50.0,253,1,1,1,0,87.1,28,27,1,55,3,206,68.7,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,4,0,332,61,5.44,68,6.10,1,27:21,3:15,3.5,covered,43.0,over
BAL,2022-11-27,27,3,0,0,0,43.0,3,2,Sun,11,12,@,JAX,L 27-28,20,38,1.9,0,29,37,78.4,294,3,4,27,0,126.8,27,28,-1,55,1,53,53.0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,0,415,68,6.10,61,5.44,2,32:39,3:15,-3.5,did not cover,43.0,over
KAN,2022-11-27,26,1,0,0,0,42.0,1,2,Sun,11,12,,LAR,W 26-10,28,116,4.1,0,14,24,58.3,82,1,3,24,2,44.1,26,10,16,36,1,49,49.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,437,72,6.07,55,3.60,2,32:26,2:55,-15.5,covered,42.0,under
LAR,2022-11-27,10,1,1,0,0,42.0,2,2,Sun,11,12,@,KAN,L 10-26,30,117,3.9,1,27,42,64.3,320,1,0,0,1,85.4,10,26,-16,36,4,180,45.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,0,198,55,3.60,72,6.07,2,27:34,2:55,15.5,did not cover,42.0,under
HOU,2022-11-27,15,1,1,0,0,47.0,3,3,Sun,11,12,@,MIA,L 15-30,26,66,2.5,1,23,41,56.1,273,1,5,32,0,84.7,15,30,-15,45,7,350,50.0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,0,210,58,3.62,72,4.71,3,27:33,3:03,14.0,did not cover,47.0,under
